Язык,Количество носителей,Континент,Сложность изучения,Число стран
Английский,1120,Европа,Средняя,59
Испанский,534,Америка,Низкая,21
Французский,280,Европа,Средняя,29
Арабский,274,Африка,Высокая,24
Русский,264,Европа,Средняя,17
Португальский,234,Европа,Низкая,10
Немецкий,229,Европа,Высокая,6
Японский,128,Азия,Высокая,1
Корейский,77,Азия,Высокая,2
Итальянский,67,Европа,Низкая,4
Китайский (мандаринский),1120,Азия,Высокая,3
Турецкий,68,Азия,Средняя,1
Греческий,67,Европа,Средняя,4
Суахили,100,Африка,Средняя,11
Хинди,637,Азия,Высокая,4
Шведский,10,Европа,Средняя,1
Польский,45,Европа,Средняя,1